NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Lauri Markkanen,Uta,F,55,33.1,0.899,0.559,0.399,0.578,23.2,8.2,2,0.9,0.5,1.4
Jordan Clarkson,Uta,G,55,30.6,0.881,0.485,0.294,0.469,17.1,3.4,5,0.6,0.1,2.7
Deandre Ayton,Por,C,55,32.4,0.823,0.576,0.1,0.571,16.7,11.1,1.6,1,0.8,1.8
Khris Middleton,Mil,F,55,27,0.833,0.563,0.381,0.566,15.1,4.7,5.3,0.9,0.3,2.3
Wendell Carter Jr.,Orl,C,55,25.6,0.694,0.626,0.374,0.6,11,6.9,1.7,0.6,0.5,1.2
Onyeka Okongwu,Atl,F-C,55,25.5,0.793,0.676,0.333,0.642,10.2,6.8,1.3,0.5,1.1,0.8
Kevin Love,Mia,F,55,16.8,0.787,0.643,0.344,0.557,8.8,6.1,2.1,0.3,0.2,0.9
Dereck Lively II,Dal,C,55,23.5,0.506,0.752,0,0.747,8.8,6.9,1.1,0.7,1.4,0.9
Draymond Green,Gol,F,55,27.1,0.73,0.551,0.395,0.566,8.6,7.2,6,1,0.9,2.5
Dante Exum,Dal,G,55,19.8,0.779,0.557,0.491,0.621,7.8,2.7,2.9,0.4,0.1,0.9
John Konchar,Mem,G,55,21.3,0.84,0.568,0.317,0.514,4.3,4.7,2,0.9,0.9,0.8
Oshae Brissett,Bos,F-G,55,11.5,0.602,0.541,0.273,0.493,3.7,2.9,0.8,0.3,0.1,0.4
Trae Young,Atl,G,54,36,0.855,0.479,0.373,0.516,25.7,2.8,10.8,1.3,0.2,4.4
Jerami Grant,Por,F,54,33.9,0.817,0.474,0.402,0.516,21,3.5,2.8,0.8,0.6,2.1
Gary Harris,Orl,G,54,24,0.756,0.598,0.371,0.569,6.9,1.7,1.6,0.9,0.3,0.6
Dean Wade,Cle,F,54,20.5,0.769,0.567,0.391,0.584,5.4,4,0.8,0.7,0.5,0.4
